lemah ya kamu
Kurang iman dan ngaji maka nya perbanyak baca Alquran bukan Baca instagram dan facebook
Payah
Bedebah tuh orang
Yah tuh dia sudah gak_punya_iman gitu deh Dia belum tau kali di akhirat ntar gimana di neraka selama_lamanya
Lagi tren kali lompat melompat hahaha COWO BODOH
Ngapa sih itu orang
Kurang dekat nya diri dari Allah SWT
Murah banget hidup bunuh_diri itu bukan jalan keluar
Depresi karena kurang nya mendekatkan_diri kepada sang_pencipta
Biar apa sih loncat2
sayang_banget gak mati jadi cacat kan tuh ada_ada aja yaa ya allah
Mana ada orang bunuh_diri yang masuk surga Mana ada orang yang bunuh_diri diampuni dosa_dosa nya Nabi aja gak mau sholatkan jenazah yang mati karena bunuh_diri
bego lo
Marilah kuatkan iman kita agar kita terhindar dari rayuan setan yang menyesatkan astaghfirullahaladziiim banyak_banyaklah istigfar
aduh kasihan orang nya sudah modar
Ya allah apa yang dia perbuat melaknat diri sendiri
Naudzubillahhiminzalik
mati_aja
gak mungkin diterima kalau masuk_neraka pasti
tapi bunuh_diri memang dilarang dan selama nya dia akan menyakiti diri nya sendiri seperti cara dia bunuh_diri
iman  nya kurang cinta itu mutlak hanya milik allah swt itu adalah cinta yang sebenarnya nya cinta terhadap makhluk boleh tapi jangan terus kayak gini Ini sama aja mencintai makhluk melebihi pencipta nya Yang jelas bunuh_diri dalam islam itu dilarang dan berdosa amat besar sama aja dengan menduakan tuhan karena telah mendahului ajal Mengenai masalah masuk surga atau neraka itu hanya allah lah yang mahatahu
Bunuh bukan aja dilarang dan gak disukai Rosul dan sahabat atau para Ulama pun gak menyukai tapi tetap aja karena Iman gak kuat akhir nya orang bisa buta hati maka doakan agar Allah mengampuni dosa nya bagaimanapun perasaan manusia beda dengan malaikat
Tetap bunuh_diri itu gak diterima oleh allah karena rezeki maut jodoh termasuk nyawa itu allah yang mengatur Bagaimana bila seorang berkata iman percaya pada allah tapi gak berta nya dulu pada ahli ulama wakil nya utusan allah tentang jalan yang benar yang seharus nya Maaf hanya mengingatkan
Banyak_banyak makan micin biar gak bodoh gara_gara istri selingkuh bunuh_diri sudah kayak gak ada cewe lain aja
orang yang gak_punya_iman wanita banyak bukan hanya satu
cuma sayang istri gak mikirin anak_anak Parah kalau gak_punya_iman
Mampus lo sudah mati gak ada guna nya juga lo hidup gak_punya_otak dasar cowo pengecut pakai mati segala disiarin live lagi Orang tolol
kurang_piknik semuanya
Pekok lo bunuh_diri kok diumbar di facebook sudah mati lo nanti di neraka ditambah dihujat orang bunuh_diri ya bunuh_diri aja jangan sok_sokan di streaming
bunuh_diri ciri orang pecundang Dia gak bisa menghadapi masalah dengan akal sehat
dia putus asa banyak masalah
Setiap kepala juga pasti punya_masalah kk hanya orang yang pu nya mental lemah sampai melakukan hal itu yang berpikir mati adalah jalan terbaik seram yaa kk
mati nya gak wajar Itu TKP pasti jadi angker 
hiii seram lah kalau tinggal deket TKP
sayang mas ganteng ganteng kok gak_punya_iman lihat itu anak_anak
ORANG TOLOL DIA bunuh_diri CUMA KARENA CINTA KASIHAN AMAT HIDUP lo
Perbuatan paling_dibenci oleh tuhan sudah kasih umur panjang sehat malah di sia_sia mas bro mas bro
Ini bisa jadi panutan atau contoh buat kaum islami seperti kita_kita hanya cinta sesama aja sampai_bunuh_diri konyol banget kalau mati demi islam dan karena cinta pada gusti allah baru aku acungi jempol kalau kayak gini mah jari kelingking yang aku acungkan
gue sih turut berduka cita tapi ini keputusan yang konyol gak berpikir dua kali
yang bunuh_diri itu orang yang paling bodoh yang sudah gak_punya_iman kalau mereka mau silakan
tolol masuk_neraka Lo
telat bro orang nya sudah menikmati hadiah terindah dalam kubur nya yaitu NERAKA
aduh mau mati aja pakai acara eksis dulu nanti lev lagi di neraka lagi diapain
Edan zaman sekarang kelakuan manusia sudah aneh_aneh Kenapa melakukan kayak gitu pak Apakah bapak gak pikir anak_anak bapak Apa bapak gak kasihan sama anak_anak bapak Cuma masalah sepele kok sampai_bunuh_diri Ampun pak pak di mana sebagai laki_laki Laki_laki itu harus kuat masih_banyak_cewe mah pak bukan cuma satu doang
Itulah janji iblis menyesatkan manusia sampai keluar dari agama islam bagaimanapun cara nya semoga keluarga kita kerabat saudara ataupun yang kita kenal gak pernah melakukan hal tersebut amin
Gak Ada iman  nya kasihan banget
yang sakit parah dan sudah divonis aja mati_matian gimana cara nya harus sembuh yang sudah dikasih fisik sehat duniawi oleh sang_pencipta malah di sia_sia dunia sudah terbalik
INILAH CONTOH ORANG PALING TOLOL GOBLOK DAN gak_punya_otak
Bener banget bang orang yang sakit hampir menemui ajal aja pengen sehat dan bangun lagi ini yang dikasih hidup malah sia_sia
kurang_piknik
Orang bego ini hahaha
Cetek amat pemikiran nya duh sayang_banget tapi semoga diampuni segala dosamu Amin
iman  nya tipis paling_dibenci sama ALLAH
masuk_neraka aja gak apalagi masuk surga aduh gentayang tuh di dunia gak ada tujuan iman  nya lemah tuh orang
kasihan sama anak_anak nya jadi kena mental nya si istri dihantui merasa bersalah gak akan tenang hidup nya lama_lama stres sendiri
mungkin dia bunuh_diri karena ada hal yang bikin dia lupa diri sampai dia putus harapan bukan dia aja yang mati gantung_diri sudah banyak kasus di tangerang mandor bangunan karena kerjaan nya rugi gak bisa bayar tukang nya dia bunuh_diri di proyek sudah gak aneh semua orang bakal mati dengan cara berbeda_beda
disangka gantung_diri bisa menyelesaikan masalah kali selamat bertemu dengan malaikat bro anda pertanggungjawabkan semuanya
Dia cinta mati sama istri nya tapi gak cinta mati sama allah
Eh bro salah satu dosa yang gak diampuni ya bunuh_diri tempat yang layak ya cuma neraka    kalau urusan yang menjelek_jelekkan ya dosa masing_masing ngapain juga lo yang sewot
Ini adalah Contoh orang yang gak mengerti ilmu agama sebesar apapun masalah yang dialami harus nya kita lebih mendekatkan_diri kepada allah dengan cara memperbanyak ibadah kalau kita dekat dengan allah pasti allah juga akan dekat dengan kita kalau allah sudah dekat dengan kita maka allah akan memuliakan kita dan kita akan dibahagiakan di dunia dan akhirat gak akan mungkin allah membiarkan kita_tersiksa bukan nya malah gantung_diri perbuatan percuma yang malah membuat kita_tersiksa di neraka untuk selamanya
Begitulah kalau jauh dengan allah swt setan dan iblis akan mendekat padamu dan berbisik di telingamu kawan Ikutlah dengan kami jadi penghuni neraka Di sana bebas bayar pajak bebas bayar segala nya gak perlu mikir bayar kontrakan Gak perlu KTP elektrik jangan mikir macam_macam deh yang penting kamu siap digebukin disiksa sampe MODAR bangun disiksa lagi sampe MODAR
Ciri orang jauh dari tuhan gak_punya_iman Naudzubillahhiminzalik
Orang bodoh wanita di dunia ada jutaan ditinggal satu ya cari lagi gitu aja pake bunuh_diri nasi pecel masih enak sayang yang nama nya orang bunuh_diri ya jelas masuk_neraka jadi percuma didoakan masuk surga gak mensyukuri nikmat tuhan
orang bodoh yang mati bunuh_diri
Jangan cinta duniawi berlebihan maka akan sesat gak perlu didoakan gak akan sampai    karena jalan setan yang dia tempuh
Menurut ajaran islam bunuh_diri adalah murtad astagfirrullahhaladzim ya allah kuatkanlah iman kami agar kami terhindar dari kesesatan  
picik sekali
astagfirrullahhaladzim
istri nya aja edan
mungkin dia lelah dengan hidupnya
Orang bunuh_diri Itu paling_dibenci Oleh Allah Swt Biarkanlah Dia Tanggung Jawab Di Sana Jangan Sesekali Menghina Diri Kita Toh Belum Sempurna Kan Yang Udah Sempurna Aja Gak berani Ngucap Kaya Gitu Biarkanlah aja Dia
Kenapa kamu gak melakukan nya aja hidupmu sudah gak ada artinya
saya gak baik_baik aja
semua orang membencimu Hiduplah dalam kesengsaraan Dunia ini akan menjadi lebih baik tanpamu 
